name,unique_exits,total_exits,exit_rate
/2023/Feb/15/bing/,934228,977910,
/,3489,3502,
/2022/Sep/12/prompt-injection/,1765,1771,
/series/prompt-injection/,1461,1463,
/2022/Dec/4/give-me-ideas-for-crimes-to-do/,677,678,
/2022/Sep/16/prompt-injection-solutions/,244,244,
/2022/Sep/17/prompt-injection-more-ai/,163,163,
/2023/Feb/9/weeknotes/,95,95,
/2023/Feb/15/,69,69,
/2023/,50,50,
/2022/Jun/23/dall-e/,44,44,
/tags/gpt3/,44,44,
/tags/,39,39,
/2002/,37,37,
/2022/Jun/5/play-with-gpt3/,26,26,
/tags/openai/,26,26,
/2022/Dec/5/rust-chatgpt-copilot/,25,25,
/tags/promptinjection/,24,24,
/2023/Jan/13/semantic-search-answers/,18,18,
/tags/ai/,17,17,
/tags/promptengineering/,16,16,
/tags/bing/,15,15,
/tags/python/,13,13,
/search/,13,13,
/2022/,12,12,
/tags/generativeai/,11,11,
/tags/projects/,10,10,
/tags/datasette/,9,9,
/tags/search/,9,9,
/2023/Feb/13/,8,8,
/2005/,8,8,
/tags/chatgpt/,7,7,
/tags/microsoft/,7,7,
/2023/Jan/15/weeknotes/,7,7,
/tags/security/,6,6,
/tags/github/,6,6,
/tags/webassembly/,6,6,
/tags/mastodon/,5,5,
/tags/rust/,5,5,
/2022/Oct/1/software-engineering-practices/,5,5,
/tags/opensource/,5,5,
/2023/Jan/9/datasette-064/,5,5,
/2003/,5,5,
/tags/alexgarcia/,4,4,
/2022/Nov/26/productivity/,4,4,
/2019/,4,4,
/tags/weeknotes/,4,4,
/2010/,4,4,
/tags/sqlite/,4,4,
/2002/Jun/14/sexTips/,4,4,
/2022/Oct/5/spell-casting/,4,4,
/tags/javascript/,4,4,
/tags/machinelearning/,4,4,
/2002/Jun/12/webStandards/,4,4,
/2021/,3,3,
/2022/May/4/datasette-lite/,3,3,
/2022/Dec/2/datasette-write-api/,3,3,
/2016/,3,3,
/tags/plugins/,3,3,
/2023/Jan/30/datasette-scraper/,3,3,
/2020/,3,3,
/2022/Sep/5/laion-aesthetics-weeknotes/,3,3,
/2022/Jan/12/how-i-build-a-feature/,3,3,
/2022/Nov/5/mastodon/,3,3,
/2002/Jun/13/charityAndAmazon/,3,3,
/2023/Jan/27/exploring-musiccaps/,3,3,
/2002/Jun/12/t1024344375/,3,3,
/2023/Feb/7/,2,2,
/2014/,2,2,
/2018/,2,2,
/tags/dvorak/,2,2,
/2008/,2,2,
/2002/Jun/15/hasPaulFinished/,2,2,
/2002/Jun/15/pureCssPopups/,2,2,
/2017/,2,2,
/tags/whisper/,2,2,
/2002/Jun/15/cssPanicGuide/,2,2,
/2012/,2,2,
/2020/Feb/11/cheating-at-unit-tests-pytest-black/,2,2,
/2002/Jun/12/bloggingAintEasy/,2,2,
/2022/Nov/6/what-to-blog-about/,2,2,
/series/,2,2,
/2022/May/31/a-datasette-tutorial-written-by-gpt-3/,2,2,
/2022/Jul/9/gpt-3-explain-code/,2,2,
/2004/,2,2,
/2023/Feb/4/,2,2,
/2022/Aug/29/stable-diffusion/,2,2,
/tags/css/,2,2,
/2022/Mar/14/scraping-web-pages-shot-scraper/,2,2,
/2022/Nov/8/mastodon-is-just-blogs/,2,2,
/2002/Jun/12/todoList/,2,2,
/2020/Mar/18/weeknotes-absurd/,2,2,
/tags/testing/,2,2,
/2023/Feb/16/,2,2,
/tags/blogging/,2,2,
/2023/Feb/16/benj-edwards/,2,2,
/2023/Feb/13/braggoscope/,1,1,
/2023/Feb/6/making-sqlite-extensions-pip-install-able/,1,1,
/2002/Dec/5/courseworkComplete/,1,1,
/2002/Jun/22/davesBack/,1,1,
