date,visitors,pageviews,bounce_rate,visit_duration
2023-02-11 00:00:00,0,0,,
2023-02-11 01:00:00,0,0,,
2023-02-11 02:00:00,0,0,,
2023-02-11 03:00:00,0,0,,
2023-02-11 04:00:00,0,0,,
2023-02-11 05:00:00,0,0,,
2023-02-11 06:00:00,0,0,,
2023-02-11 07:00:00,0,0,,
2023-02-11 08:00:00,0,0,,
2023-02-11 09:00:00,0,0,,
2023-02-11 10:00:00,0,0,,
2023-02-11 11:00:00,0,0,,
2023-02-11 12:00:00,0,0,,
2023-02-11 13:00:00,0,0,,
2023-02-11 14:00:00,0,0,,
2023-02-11 15:00:00,0,0,,
2023-02-11 16:00:00,0,0,,
2023-02-11 17:00:00,0,0,,
2023-02-11 18:00:00,0,0,,
2023-02-11 19:00:00,0,0,,
2023-02-11 20:00:00,0,0,,
2023-02-11 21:00:00,0,0,,
2023-02-11 22:00:00,0,0,,
2023-02-11 23:00:00,0,0,,
2023-02-12 00:00:00,0,0,,
2023-02-12 01:00:00,0,0,,
2023-02-12 02:00:00,0,0,,
2023-02-12 03:00:00,0,0,,
2023-02-12 04:00:00,0,0,,
2023-02-12 05:00:00,0,0,,
2023-02-12 06:00:00,0,0,,
2023-02-12 07:00:00,0,0,,
2023-02-12 08:00:00,0,0,,
2023-02-12 09:00:00,0,0,,
2023-02-12 10:00:00,0,0,,
2023-02-12 11:00:00,0,0,,
2023-02-12 12:00:00,0,0,,
2023-02-12 13:00:00,0,0,,
2023-02-12 14:00:00,0,0,,
2023-02-12 15:00:00,0,0,,
2023-02-12 16:00:00,0,0,,
2023-02-12 17:00:00,0,0,,
2023-02-12 18:00:00,0,0,,
2023-02-12 19:00:00,0,0,,
2023-02-12 20:00:00,0,0,,
2023-02-12 21:00:00,0,0,,
2023-02-12 22:00:00,0,0,,
2023-02-12 23:00:00,0,0,,
2023-02-13 00:00:00,0,0,,
2023-02-13 01:00:00,0,0,,
2023-02-13 02:00:00,0,0,,
2023-02-13 03:00:00,0,0,,
2023-02-13 04:00:00,0,0,,
2023-02-13 05:00:00,0,0,,
2023-02-13 06:00:00,0,0,,
2023-02-13 07:00:00,0,0,,
2023-02-13 08:00:00,0,0,,
2023-02-13 09:00:00,0,0,,
2023-02-13 10:00:00,0,0,,
2023-02-13 11:00:00,0,0,,
2023-02-13 12:00:00,0,0,,
2023-02-13 13:00:00,0,0,,
2023-02-13 14:00:00,0,0,,
2023-02-13 15:00:00,0,0,,
2023-02-13 16:00:00,0,0,,
2023-02-13 17:00:00,0,0,,
2023-02-13 18:00:00,0,0,,
2023-02-13 19:00:00,0,0,,
2023-02-13 20:00:00,0,0,,
2023-02-13 21:00:00,0,0,,
2023-02-13 22:00:00,0,0,,
2023-02-13 23:00:00,0,0,,
2023-02-14 00:00:00,0,0,,
2023-02-14 01:00:00,0,0,,
2023-02-14 02:00:00,0,0,,
2023-02-14 03:00:00,0,0,,
2023-02-14 04:00:00,0,0,,
2023-02-14 05:00:00,0,0,,
2023-02-14 06:00:00,0,0,,
2023-02-14 07:00:00,0,0,,
2023-02-14 08:00:00,0,0,,
2023-02-14 09:00:00,0,0,,
2023-02-14 10:00:00,0,0,,
2023-02-14 11:00:00,0,0,,
2023-02-14 12:00:00,0,0,,
2023-02-14 13:00:00,0,0,,
2023-02-14 14:00:00,0,0,,
2023-02-14 15:00:00,0,0,,
2023-02-14 16:00:00,0,0,,
2023-02-14 17:00:00,0,0,,
2023-02-14 18:00:00,0,0,,
2023-02-14 19:00:00,0,0,,
2023-02-14 20:00:00,0,0,,
2023-02-14 21:00:00,0,0,,
2023-02-14 22:00:00,0,0,,
2023-02-14 23:00:00,0,0,,
2023-02-15 00:00:00,0,0,,
2023-02-15 01:00:00,0,0,,
2023-02-15 02:00:00,0,0,,
2023-02-15 03:00:00,0,0,,
2023-02-15 04:00:00,0,0,,
2023-02-15 05:00:00,0,0,,
2023-02-15 06:00:00,0,0,,
2023-02-15 07:00:00,532,637,88,33
2023-02-15 08:00:00,6193,7461,86,46
2023-02-15 09:00:00,8916,10776,85,62
2023-02-15 10:00:00,8535,10084,86,63
2023-02-15 11:00:00,163843,185038,89,19
2023-02-15 12:00:00,101534,114077,90,28
2023-02-15 13:00:00,61615,68943,90,30
2023-02-15 14:00:00,42231,47318,89,31
2023-02-15 15:00:00,36929,41328,90,29
2023-02-15 16:00:00,33384,37205,90,26
2023-02-15 17:00:00,34073,37797,90,25
2023-02-15 18:00:00,31544,35035,90,27
2023-02-15 19:00:00,31733,35207,90,28
2023-02-15 20:00:00,28624,31896,90,28
2023-02-15 21:00:00,26058,29038,90,28
2023-02-15 22:00:00,24126,26800,90,27
2023-02-15 23:00:00,22518,25161,90,31
2023-02-16 00:00:00,20297,22704,90,31
2023-02-16 01:00:00,17600,19933,89,36
2023-02-16 02:00:00,17661,19809,90,31
2023-02-16 03:00:00,18815,20904,90,27
2023-02-16 04:00:00,21152,23693,90,29
2023-02-16 05:00:00,19884,22326,90,34
2023-02-16 06:00:00,17302,19448,90,38
2023-02-16 07:00:00,20152,22594,90,33
2023-02-16 08:00:00,18200,20378,90,31
2023-02-16 09:00:00,16689,18585,90,29
2023-02-16 10:00:00,15638,17513,90,32
2023-02-16 11:00:00,11062,12428,89,37
2023-02-16 12:00:00,9437,10626,89,37
2023-02-16 13:00:00,8337,9422,89,45
2023-02-16 14:00:00,7378,8386,88,41
2023-02-16 15:00:00,6481,7376,88,37
2023-02-16 16:00:00,5655,6444,88,41
2023-02-16 17:00:00,5335,5940,90,36
2023-02-16 18:00:00,5188,5884,89,40
2023-02-16 19:00:00,5008,5639,90,35
2023-02-16 20:00:00,4558,5064,90,37
2023-02-16 21:00:00,4331,4831,90,29
2023-02-16 22:00:00,4473,5021,89,37
2023-02-16 23:00:00,4556,5104,90,39
2023-02-17 00:00:00,4386,4923,90,37
